method,metric,mean,ci_lower_95,ci_upper_95,delta_vs_manual_specter_hybrid,p_value_vs_manual_specter_hybrid,delta_vs_tar_tfidf_logreg,p_value_vs_tar_tfidf_logreg,n_bootstrap
learned_adaboost,ap,0.5567078167945716,0.46183695253120977,0.6464803885912737,0.004583182052232959,0.459,-0.07499903424200483,0.977,2000
learned_extratrees,ap,0.68516919072464,0.5953416708779008,0.7615300557350888,0.13304455598230136,0.0,0.053462339688063576,0.0385,2000
learned_gb,ap,0.6599909084365936,0.569934394145554,0.7376574671768061,0.10786627369425494,0.0045,0.02828405740001716,0.2075,2000
learned_hgb,ap,0.6616559812616554,0.5763795436612993,0.7365982624660964,0.10953134651931673,0.0075,0.029949130225078946,0.1945,2000
learned_logistic,ap,0.680322859841028,0.5846682468221737,0.7682060078955923,0.1281982250986894,0.0005,0.048616008804451605,0.0865,2000
learned_nb,ap,0.4570135586457923,0.38440549426141973,0.5260369054754014,-0.09511107609654634,0.9985,-0.17469329239078413,1.0,2000
learned_rf,ap,0.6459731482072856,0.5503840499020703,0.7304774958797859,0.09384851346494694,0.006,0.014266297170709152,0.354,2000
learned_svm_linear,ap,0.6798240021297636,0.5843404752696263,0.7638429891873428,0.12769936738742493,0.0015,0.04811715109318715,0.0805,2000
tar_tfidf_logreg,ap,0.6317068510365764,0.5439418053886425,0.7107857129970347,0.07958221629423778,0.0265,,,2000
learned_adaboost,ndcg_at_100,0.6078510678730605,0.49640414799449656,0.7066185244112919,0.008559655149219636,0.443,-0.06252456343075063,0.921,2000
learned_extratrees,ndcg_at_100,0.7244339334260645,0.6328102497981699,0.8047467541282204,0.12514252070222365,0.001,0.05405830212225338,0.0545,2000
learned_gb,ndcg_at_100,0.6840857546625648,0.5962721609646915,0.766980551859244,0.08479434193872393,0.0345,0.013710123358753656,0.365,2000
learned_hgb,ndcg_at_100,0.6754207503003654,0.5860793222070817,0.756929825146441,0.07612933757652451,0.048,0.005045118996554243,0.4465,2000
learned_logistic,ndcg_at_100,0.6555778187537531,0.5470611911419945,0.756423451823776,0.056286406029912195,0.1415,-0.014797812550058076,0.6375,2000
learned_nb,ndcg_at_100,0.4804610617153978,0.3732429167149462,0.5938362990366752,-0.11883035100844308,0.9745,-0.18991456958841335,1.0,2000
learned_rf,ndcg_at_100,0.6651591866011407,0.5540306101187041,0.7733693691581649,0.0658677738772998,0.0945,-0.005216444702670464,0.551,2000
learned_svm_linear,ndcg_at_100,0.6855016850033844,0.5820617742339044,0.7798081579533773,0.08621027227954348,0.0375,0.015126053699573205,0.339,2000
tar_tfidf_logreg,ndcg_at_100,0.6703756313038112,0.5743935833549694,0.7584464879683601,0.07108421857997027,0.0745,,,2000
learned_adaboost,p_at_100,0.5942350000000001,0.49975,0.69,-0.005265000000000075,0.597,-0.012624999999999997,0.6645,2000
learned_extratrees,p_at_100,0.672775,0.57,0.76,0.07327499999999987,0.0375,0.06591499999999995,0.063,2000
learned_gb,p_at_100,0.623,0.52,0.72,0.023499999999999854,0.344,0.016139999999999932,0.3895,2000
learned_hgb,p_at_100,0.60673,0.5,0.7,0.007229999999999848,0.4655,-0.0001300000000000745,0.554,2000
learned_logistic,p_at_100,0.6217,0.52,0.73,0.022199999999999886,0.3485,0.014839999999999964,0.4005,2000
learned_nb,p_at_100,0.479135,0.38,0.58,-0.12036500000000017,0.996,-0.1277250000000001,0.9965,2000
learned_rf,p_at_100,0.633265,0.52,0.74,0.03376499999999982,0.2335,0.0264049999999999,0.298,2000
learned_svm_linear,p_at_100,0.63791,0.53,0.74,0.03840999999999983,0.2185,0.03104999999999991,0.2555,2000
tar_tfidf_logreg,p_at_100,0.6068600000000001,0.5,0.71,0.007359999999999922,0.4905,,,2000
learned_adaboost,rank_at_50,100.9015,82.0,120.0,0.9069999999999965,0.5045,2.610500000000002,0.4015,2000
learned_extratrees,rank_at_50,86.4765,69.0,104.0,-13.518,0.9765,-11.814499999999995,0.94,2000
learned_gb,rank_at_50,95.1265,76.0,116.0,-4.868000000000009,0.719,-3.164500000000004,0.6695,2000
learned_hgb,rank_at_50,98.3425,77.0,120.0,-1.652000000000001,0.5945,0.05150000000000432,0.528,2000
learned_logistic,rank_at_50,92.094,63.975,116.0,-7.900500000000008,0.733,-6.197000000000003,0.6855,2000
learned_nb,rank_at_50,125.2285,104.0,147.0,25.233999999999995,0.006,26.9375,0.009,2000
learned_rf,rank_at_50,90.7115,69.975,116.0,-9.283000000000001,0.8475,-7.579499999999996,0.783,2000
learned_svm_linear,rank_at_50,89.4075,68.0,113.0,-10.587000000000003,0.849,-8.883499999999998,0.836,2000
tar_tfidf_logreg,rank_at_50,98.291,77.0,119.0,-1.7035000000000053,0.5845,,,2000
learned_adaboost,rank_at_75,177.0125,145.975,217.0,-8.357,0.7125,-2.646500000000003,0.599,2000
learned_extratrees,rank_at_75,167.626,135.0,203.0,-17.743499999999983,0.887,-12.032999999999987,0.763,2000
learned_gb,rank_at_75,172.0255,138.0,211.0,-13.343999999999994,0.7855,-7.633499999999998,0.6665,2000
learned_hgb,rank_at_75,176.5595,146.0,206.0,-8.809999999999974,0.6965,-3.0994999999999777,0.5525,2000
learned_logistic,rank_at_75,154.6595,129.0,184.0,-30.70999999999998,0.982,-24.999499999999983,0.959,2000
learned_nb,rank_at_75,188.1495,161.0,220.0,2.780000000000001,0.4595,8.490499999999997,0.287,2000
learned_rf,rank_at_75,178.031,145.975,211.0,-7.338499999999982,0.6935,-1.627999999999986,0.5355,2000
learned_svm_linear,rank_at_75,159.2135,133.975,187.0,-26.155999999999977,0.9475,-20.44549999999998,0.915,2000
tar_tfidf_logreg,rank_at_75,179.659,145.0,226.0,-5.710499999999996,0.6225,,,2000
learned_adaboost,rank_at_90,280.8445,227.0,335.0,-25.312000000000012,0.798,-57.533000000000015,0.8545,2000
learned_extratrees,rank_at_90,249.6435,214.0,298.0,-56.513000000000005,0.9785,-88.73400000000001,0.9725,2000
learned_gb,rank_at_90,274.505,220.0,344.0,-31.6515,0.829,-63.8725,0.9045,2000
learned_hgb,rank_at_90,246.5695,206.0,299.0,-59.58699999999999,0.9685,-91.80799999999999,0.982,2000
learned_logistic,rank_at_90,229.8395,189.0,279.02499999999986,-76.31700000000001,0.989,-108.53800000000001,0.998,2000
learned_nb,rank_at_90,292.4785,232.0,364.02499999999986,-13.677999999999997,0.609,-45.899,0.8355,2000
learned_rf,rank_at_90,260.835,213.0,302.0,-45.321500000000015,0.932,-77.54250000000002,0.9565,2000
learned_svm_linear,rank_at_90,244.588,187.0,298.0,-61.5685,0.9505,-93.7895,0.988,2000
tar_tfidf_logreg,rank_at_90,338.3775,244.0,432.0,32.221000000000004,0.316,,,2000
learned_adaboost,recall_at_100,0.4973952268272483,0.4178974691758598,0.5840729869447122,-0.004121464569891431,0.597,-0.010186553627052286,0.6645,2000
learned_extratrees,recall_at_100,0.5629550675153815,0.484375,0.6486486486486487,0.061438376118241766,0.0375,0.05537328706108091,0.063,2000
learned_gb,recall_at_100,0.5212766175460133,0.44093820899506203,0.6078431372549019,0.019759926148873563,0.344,0.013694837091712708,0.3895,2000
learned_hgb,recall_at_100,0.507450768260462,0.430891181988743,0.587167785869668,0.005934076863322257,0.4655,-0.00013101219383859775,0.554,2000
learned_logistic,recall_at_100,0.520256035421269,0.4396946272769019,0.6122448979591837,0.018739344024129245,0.3485,0.01267425496696839,0.4005,2000
learned_nb,recall_at_100,0.4007902474991378,0.32498758278145695,0.4811651770936774,-0.10072644389800195,0.996,-0.1067915329551628,0.9965,2000
learned_rf,recall_at_100,0.5292745880398257,0.45454545454545453,0.6115722538714595,0.02775789664268602,0.2335,0.021692807585525165,0.298,2000
learned_svm_linear,recall_at_100,0.533416141512206,0.45735264635124295,0.6129108338405356,0.03189945011506623,0.2185,0.025834361057905375,0.2555,2000
tar_tfidf_logreg,recall_at_100,0.5075817804543006,0.42962962962962964,0.5892857142857143,0.006065089057160855,0.4905,,,2000
learned_adaboost,relevant_at_100,59.4235,49.975,69.0,-0.5265000000000057,0.597,-1.2625000000000028,0.6645,2000
learned_extratrees,relevant_at_100,67.2775,57.0,76.0,7.327500000000001,0.0375,6.5915000000000035,0.063,2000
learned_gb,relevant_at_100,62.3,52.0,72.0,2.3499999999999943,0.344,1.6139999999999972,0.3895,2000
learned_hgb,relevant_at_100,60.673,50.0,70.0,0.722999999999999,0.4655,-0.012999999999998124,0.554,2000
learned_logistic,relevant_at_100,62.17,52.0,73.0,2.219999999999999,0.3485,1.4840000000000018,0.4005,2000
learned_nb,relevant_at_100,47.9135,38.0,58.0,-12.036500000000004,0.996,-12.7725,0.9965,2000
learned_rf,relevant_at_100,63.3265,52.0,74.0,3.3765,0.2335,2.640500000000003,0.298,2000
learned_svm_linear,relevant_at_100,63.791,53.0,74.0,3.840999999999994,0.2185,3.104999999999997,0.2555,2000
tar_tfidf_logreg,relevant_at_100,60.686,50.0,71.0,0.7359999999999971,0.4905,,,2000
