record_id,title_short,screening_label,is_relevant,et_rank,tar_rank,et_score,tar_score,comparison,direction,failure_mode,lesson,hybrid_rank,hybrid_score
#43,SomaticSiMu: a mutational signature simulator.,include,1,226,2.0,0.61,0.897,ET vs TAR,lost_by_ET,scope_drift,"Tools that simulate, visualise, or benchmark signature methods are related but not directly about signature extraction/analysis methodology.",,
#290,Detection of oncogenic and clinically actionable mutations in cancer genomes...,include,1,108,23.0,0.865,0.803,ET vs TAR,lost_by_ET,methodology_peripheral,Papers describing general bioinformatics pipelines or frameworks that include signature analysis as one component are borderline relevant.,,
#304,PhySigs: Phylogenetic Inference of Mutational Signature Dynamics.,exclude,0,117,24.0,0.837,0.803,ET vs TAR,lost_by_ET,topic_tangential,"Papers about cancer genomics, driver mutations, or clinical applications that mention signatures peripherally are ranked highly due to domain overlap.",,
#159,Generating realistic null hypothesis of cancer mutational landscapes using...,exclude,0,176,37.0,0.74,0.761,ET vs TAR,lost_by_ET,scope_drift,"Tools that simulate, visualise, or benchmark signature methods are related but not directly about signature extraction/analysis methodology.",,
#470,Cancer mutational signatures representation by large-scale context embedding.,include,1,138,38.0,0.808,0.757,ET vs TAR,lost_by_ET,scope_drift,"Tools that simulate, visualise, or benchmark signature methods are related but not directly about signature extraction/analysis methodology.",,
#378,MOV&RSim: computational modelling of cancer-specific variants and sequencing...,include,1,271,40.0,0.513,0.756,ET vs TAR,lost_by_ET,scope_drift,"Tools that simulate, visualise, or benchmark signature methods are related but not directly about signature extraction/analysis methodology.",,
#279,vcfView: An Extensible Data Visualization and Quality Assurance Platform for...,include,1,130,43.0,0.823,0.74,ET vs TAR,lost_by_ET,scope_drift,"Tools that simulate, visualise, or benchmark signature methods are related but not directly about signature extraction/analysis methodology.",,
#293,In silico generation of synthetic cancer genomes using generative AI.,exclude,0,172,48.0,0.748,0.727,ET vs TAR,lost_by_ET,methodology_peripheral,Papers describing general bioinformatics pipelines or frameworks that include signature analysis as one component are borderline relevant.,,
#67,VCFshiny: an R/Shiny application for interactively analyzing and visualizing...,include,1,235,49.0,0.589,0.72,ET vs TAR,lost_by_ET,scope_drift,"Tools that simulate, visualise, or benchmark signature methods are related but not directly about signature extraction/analysis methodology.",,
#1464,VirMutSig: Discovery and assignment of viral mutational signatures from...,irrelevant,0,189,51.0,0.719,0.717,ET vs TAR,lost_by_ET,unclassified,,,
#1428,A SAMPLING ALGORITHM TO COMPUTE THE SET OF FEASIBLE SOLUTIONS FOR NONNEGATIVE...,exclude,0,351,52.0,0.377,0.716,ET vs TAR,lost_by_ET,terminology_overlap,"Papers using similar NMF/signature terminology but for different applications (e.g., deep unfolding for NMF) are hard to distinguish from actual signature methods.",,
#1057,Detecting Somatic Mutations Without Matched Normal Samples Using Long Reads.,exclude,0,112,57.0,0.854,0.702,ET vs TAR,lost_by_ET,scope_drift,"Tools that simulate, visualise, or benchmark signature methods are related but not directly about signature extraction/analysis methodology.",,
#630,Influence network model uncovers relations between biological processes and...,irrelevant,0,118,59.0,0.837,0.699,ET vs TAR,lost_by_ET,unclassified,,,
#148,A mixture model for signature discovery from sparse mutation data.,irrelevant,0,116,64.0,0.838,0.687,ET vs TAR,lost_by_ET,topic_tangential,"Papers about cancer genomics, driver mutations, or clinical applications that mention signatures peripherally are ranked highly due to domain overlap.",,
#331,Examining clustered somatic mutations with SigProfilerClusters.,exclude,0,152,66.0,0.781,0.683,ET vs TAR,lost_by_ET,scope_drift,"Tools that simulate, visualise, or benchmark signature methods are related but not directly about signature extraction/analysis methodology.",,
#602,A mutation-level covariate model for mutational signatures.,irrelevant,0,242,69.0,0.575,0.673,ET vs TAR,lost_by_ET,unclassified,,,
#456,SigFormer: an Attention-Based Framework for Robust Single-Sample Mutational...,include,1,127,70.0,0.829,0.669,ET vs TAR,lost_by_ET,methodology_peripheral,Papers describing general bioinformatics pipelines or frameworks that include signature analysis as one component are borderline relevant.,,
#1466,A neural network for determination of latent dimensionality in non-negative...,irrelevant,0,459,72.0,0.221,0.666,ET vs TAR,lost_by_ET,terminology_overlap,"Papers using similar NMF/signature terminology but for different applications (e.g., deep unfolding for NMF) are hard to distinguish from actual signature methods.",,
#132,GENOMICON-Seq enables realistic simulation of amplicon and exome sequencing for...,include,1,250,75.0,0.543,0.657,ET vs TAR,lost_by_ET,scope_drift,"Tools that simulate, visualise, or benchmark signature methods are related but not directly about signature extraction/analysis methodology.",,
#1353,Excerno: Using Mutational Signatures in Sequencing Data to Filter False...,exclude,0,105,80.0,0.87,0.644,ET vs TAR,lost_by_ET,topic_tangential,"Papers about cancer genomics, driver mutations, or clinical applications that mention signatures peripherally are ranked highly due to domain overlap.",,
#376,A Sticky Multinomial Mixture Model of Strand-Coordinated Mutational Processes...,irrelevant,0,170,81.0,0.754,0.643,ET vs TAR,lost_by_ET,unclassified,,,
#391,Toward identification of common DNA repair process in mutational signatures.,irrelevant,0,136,82.0,0.809,0.643,ET vs TAR,lost_by_ET,unclassified,,,
#474,EvoLSTM: context-dependent models of sequence evolution using a...,exclude,0,506,83.0,0.169,0.635,ET vs TAR,lost_by_ET,scope_drift,"Tools that simulate, visualise, or benchmark signature methods are related but not directly about signature extraction/analysis methodology.",,
#1624,Distributed non-negative matrix factorization with determination of the number...,irrelevant,0,425,87.0,0.254,0.629,ET vs TAR,lost_by_ET,terminology_overlap,"Papers using similar NMF/signature terminology but for different applications (e.g., deep unfolding for NMF) are hard to distinguish from actual signature methods.",,
#1207,A Biterm Topic Model for Sparse Mutation Data.,irrelevant,0,114,92.0,0.849,0.621,ET vs TAR,lost_by_ET,topic_tangential,"Papers about cancer genomics, driver mutations, or clinical applications that mention signatures peripherally are ranked highly due to domain overlap.",,
#117,DETexT: An SNV detection enhancement for low read depth by integrating...,include,1,150,93.0,0.782,0.62,ET vs TAR,lost_by_ET,unclassified,,,
#1520,CellPhy: accurate and fast probabilistic inference of single-cell phylogenies...,irrelevant,0,341,99.0,0.397,0.614,ET vs TAR,lost_by_ET,scope_drift,"Tools that simulate, visualise, or benchmark signature methods are related but not directly about signature extraction/analysis methodology.",,
#964,Modeling the relationship between gene expression and mutational signature.,irrelevant,0,126,,0.83,,ET vs Hybrid,lost_by_ET,unclassified,,7.0,0.863
#2095,RESEARCH ARTICLE Modeling the relationship between gene expression and...,irrelevant,0,113,,0.852,,ET vs Hybrid,lost_by_ET,unclassified,,10.0,0.856
#2505,Bioinformatics: From NGS Data to Biological Complexity in Variant Detection and...,irrelevant,0,124,,0.831,,ET vs Hybrid,lost_by_ET,methodology_peripheral,Papers describing general bioinformatics pipelines or frameworks that include signature analysis as one component are borderline relevant.,12.0,0.851
#51,Characteristics of mutational signatures of unknown etiology.,include,1,110,,0.857,,ET vs Hybrid,lost_by_ET,topic_tangential,"Papers about cancer genomics, driver mutations, or clinical applications that mention signatures peripherally are ranked highly due to domain overlap.",22.0,0.842
#624,Mutational signatures and their association with cancer survival and gene...,irrelevant,0,106,,0.869,,ET vs Hybrid,lost_by_ET,topic_tangential,"Papers about cancer genomics, driver mutations, or clinical applications that mention signatures peripherally are ranked highly due to domain overlap.",41.0,0.815
#466,Pan-cancer integrative analysis of whole-genome De novo somatic point mutations...,include,1,104,,0.872,,ET vs Hybrid,lost_by_ET,methodology_peripheral,Papers describing general bioinformatics pipelines or frameworks that include signature analysis as one component are borderline relevant.,50.0,0.81
#204,Unraveling most abundant mutational signatures in head and neck cancer.,exclude,0,134,,0.811,,ET vs Hybrid,lost_by_ET,topic_tangential,"Papers about cancer genomics, driver mutations, or clinical applications that mention signatures peripherally are ranked highly due to domain overlap.",52.0,0.809
#468,Unique genomic features and prognostic value of COSMIC mutational signature 4...,irrelevant,0,191,,0.717,,ET vs Hybrid,lost_by_ET,topic_tangential,"Papers about cancer genomics, driver mutations, or clinical applications that mention signatures peripherally are ranked highly due to domain overlap.",57.0,0.8
#1395,Mutational signatures: experimental design and analytical framework.,include,1,122,,0.834,,ET vs Hybrid,lost_by_ET,methodology_peripheral,Papers describing general bioinformatics pipelines or frameworks that include signature analysis as one component are borderline relevant.,60.0,0.799
#1224,Widespread redundancy in -omics profiles of cancer mutation states.,include,1,173,,0.746,,ET vs Hybrid,lost_by_ET,topic_tangential,"Papers about cancer genomics, driver mutations, or clinical applications that mention signatures peripherally are ranked highly due to domain overlap.",69.0,0.791
#4455,Computational cancer genomics,exclude,0,32,151.0,0.979,0.529,ET vs TAR,gained_by_ET,topic_tangential,,,
#340,Mutational signature assignment heterogeneity is widespread and can be...,irrelevant,0,33,117.0,0.979,0.586,ET vs TAR,gained_by_ET,topic_tangential,,,
#3069,Statistical Challenges in Mutational Signature Analyses of Cancer Sequencing...,exclude,0,37,149.0,0.976,0.537,ET vs TAR,gained_by_ET,unclassified,,,
#184,A practical framework RNMF for exploring the association between mutational...,exclude,0,45,106.0,0.959,0.597,ET vs TAR,gained_by_ET,terminology_overlap,,,
#339,Damage and Misrepair Signatures: Compact Representations of Pan-cancer...,include,1,47,104.0,0.957,0.605,ET vs TAR,gained_by_ET,methodology_peripheral,,,
